,title,content,category
84,"Had to do comedy just 10 days after dad's death, got standing ovation: Krushna","Comedian Krushna Abhishek said that he had to do a comedy show just 10 days after his father passed away because the makers could not take in another anchor. ""The performance...I gave that day...Everyone gave me...standing ovation...That this guy, despite facing such a tough time, his father has passed just 10 days ago, and he made everyone laugh,"" he added.",entertainment
85,'Disgusted' with actors in India: 'Raajneeti' director Prakash Jha,"Director Prakash Jha who helmed 'Raajneeti' starring Ranbir Kapoor and Katrina Kaif, said he is ""disgusted"" with actors working in India. ""They don't know what acting is about,"" added Jha. Discussing his web series 'Aashram', Jha stated, ""'Aashram' has 1.6 billion views which is probably the most viewed web series in the world. It is double the size of IPL.""",entertainment
86,"No one's talking about the film, we're all stuck at ₹1000 cr: Manoj","Actor Manoj Bajpayee has said, ""No one is talking about the film."" He added, ""No one wants to discuss the film, its performances, the other departments who have contributed in making that film."" He stated everyone is stuck at ₹1000 crore. ""This fight has been going on for years. I think this mess is not going to end,"" Manoj said.",entertainment
87,"After I became a mom, designers said, 'Nothing's fitting you': Neha","Actress Neha Dhupia recalled her postpartum depression after giving birth to her first child in 2018. ""The day you give birth it's...an amazing feeling...And still trying to go to work...then...at fittings people saying 'oh but nothing's really fitting you...maybe we should work...sometime later',"" she said. ""It's a downward spiral but I've been through it and I've learned,"" she added.",entertainment
88,I stood up for Aishwarya when media fat-shamed her: Raveena,"Actress Raveena Tandon has recalled standing up for Aishwarya Rai saying she just had a baby when the media fat-shamed her. Raveena added, ""A journalist said, 'Arrey Raveena ji, you have become so fat. You used to be 'mast cheez' and are now doing reality shows.' I told him, 'My fat will go away but how will your face change?'""",entertainment
89,"'83' made around ₹200 cr amid 3rd wave, which isn't bad: Ranveer Singh","Actor Ranveer Singh revealed that his film '83' was criticised by the trade for not making as much money as it was projected to make. However, he added, ""The film still made around ₹200 crore in the middle of the third wave which is not bad at all."" ""It was just a case of unfortunate timing,"" he added.",entertainment
90,I would steal a lot of things: Azma Fallah on 'Lock Upp',"Azma Fallah who was recently seen in the first season of reality show 'Lock Upp' said she would ""steal"" a lot of things while participating in the show, adding she would hide things someone became obsessed with. ""I did not have the strength to fight back but I could attack them through these actions,"" stated Azma.",entertainment
91,Arjun Rampal is very controversial but doesn't get bad press like me: Kangana,"Actress Kangana Ranaut said actor Arjun Rampal is ""very controversial"" but doesn't get bad press like she does. ""He says what he says, does what he does,"" added Kangana. ""A guy can get away with anything,"" stated Kangana. Arjun and Kangana will star together in the upcoming film 'Dhaakad' which is a spy thriller scheduled to release on May 20.",entertainment
92,"Was 15 kg more than my usual weight during Mimi, felt unfit: Kriti Sanon","Actress Kriti Sanon said she remembers feeling unfit towards the end of schedule of the movie 'Mimi' and added she was 15 kilos more than her usual weight. ""I began working out at home with help of virtual trainers. I lost all the excess weight during the lockdown...When you feel so unfit, you understand the importance of fitness,"" she added.",entertainment
93,"Sorry, studio was full: Kapil to fan who wasn't allowed to give him his sketch","Comedian Kapil Sharma took to Twitter to retweet a sketch made by one of his fans and apologised after the fan said that he was not allowed to present the sketch to Kapil. ""Thank you for beautiful sketch, and sorry for inconvenience, studio was full that's why they didn't allow, see you some other time. Lots of love,"" Kapil wrote.",entertainment
94,Jennifer Aniston to be the final guest of 'The Ellen DeGeneres Show',"Actress Jennifer Aniston will be the final guest in the farewell episode of 'The Ellen DeGeneres Show'. The actress was also Ellen's first-ever guest on the show when it began in 2003. The talk show will be ending after 19 seasons. Along with Jennifer, singers Pink and Billie Eilish will also feature in the episode.",entertainment
95,"Chris Hemsworth is godly, he's also kind & good actor: Elizabeth Olsen","Elizabeth Olsen called Chris Hemsworth ""godly"" and added, ""His arm is way bigger than my head...he's also a charming, kind and good actor."" Elizabeth and her 'Doctor Strange in the Multiverse of Madness' co-star Benedict Cumberbatch were asked to agree or disagree if Hemsworth was the most handsome actor in the MCU, to which they both agreed.",entertainment
96,"Not about North or South, it's about coming up with good entertainers: Jackky","Actor-producer Jackky Bhagnani has said, ""It's not about North or South, it's about coming up with good quality entertainers."" He added, ""All kinds of audiences enjoying one particular film is actually great. [The] common audience is telling us something and we must listen."" This comes after films like 'RRR', 'KGF' franchise and 'Pushpa: The Rise' were commercially successful across India.",entertainment
97,Naseeruddin said 'You play the fool and the fool's the wisest': Ranveer,"Sharing an interaction with actor Naseeruddin Shah, Ranveer Singh said, ""Naseer sir told me, 'You choose to play the fool and the fool is actually the wisest one'. I am happy to be the court jester."" ""My wife [Deepika Padukone] keeps telling me that you are so intelligent but we don't often get to see that side,"" added Ranveer.",entertainment
98,"Some current Hindi films very boring, painful: 'LOC...' actor Himanshu","Actor-turned-director Himanshu Malik who starred in the war film 'LOC: Kargil' said he finds some of the current Bollywood films ""very boring"" and ""painful"". ""The world is one big marketplace. That puts a lot of pressure on traditional filmmakers,"" added Himanshu. ""Once you go behind the camera...you can enjoy eating everything without worrying about gaining weight,"" stated Himanshu.",entertainment
99,Playing Draco in 'Harry...' did me no favours with girls in school: Tom,"Actor Tom Felton, who played Draco Malfoy in the 'Harry Potter' franchise, said that portraying the negative character ""was not cool"" for him during his school years. ""I wasn't this special, popular kid, but I was walking around with dyed hair and played an evil wizard...It did me no favours with the girls,"" he added.",entertainment
